step,sessions,conversion_from_prev,drop_from_prev_abs,drop_from_prev_pct,product_meaning
session,120000,1.0,0.0,0.0,База анализа: все сессии
page_view,120000,1.0,0.0,0.0,Пользователь дошел до просмотра товара
add_to_cart,81518,0.6793166666666667,38482.0,0.3206833333333333,Пользователь проявил явный интерес и добавил товар в корзину
checkout,44909,0.5509090016928776,36609.0,0.4490909983071224,Пользователь начал оформление заказа
purchase,33580,0.7477343071544679,11329.0,0.25226569284553213,Пользователь завершил покупку
